Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
friction,"마찰, 두 물체가 서로 접촉할 때 생기는 저항",The resistance that one surface or object encounters when moving over another,The friction between the two surfaces slowed down the movement.,두 표면 간의 마찰이 움직임을 느리게 했다.,"resistance, abrasion, rubbing","smoothness, slipperiness","Medium relevance, commonly used in scientific contexts","Low relevance, rarely appears in business contexts"
frivolous,"경솔한, 하찮은",Not having any serious purpose or value; carefree and superficial.,She was criticized for making frivolous decisions during a critical moment.,그녀는 중요한 순간에 경솔한 결정을 내렸다고 비판받았다.,"trivial, superficial, carefree","serious, practical, important",Moderate relevance in writing and speaking sections.,Low relevance in logical and analytical sections.
frugal,"검소한, 절약하는",Sparing or economical with regard to money or resources.,"She lived a frugal life, saving money whenever she could.",그녀는 가능한 한 돈을 절약하며 검소한 삶을 살았다.,"economical, thrifty, prudent","extravagant, lavish, wasteful",Moderate relevance for vocabulary in writing and speaking sections.,Relevant for critical reasoning and reading comprehension.
frustration,"좌절, 실망 또는 기대가 좌절된 상태","The feeling of being upset or annoyed, especially because of inability to achieve or do something",Her frustration grew as she failed to solve the problem.,그녀의 좌절감은 문제를 해결하지 못할 때마다 커졌다.,"disappointment, annoyance, irritation","satisfaction, contentment, fulfillment",High relevance due to frequent use in speaking and writing about emotions or challenges,"Moderate relevance, often used in reading comprehension or critical reasoning passages"
fuel,에너지를 얻기 위해 사용하는 물질 또는 연료,"A substance that is used to produce energy, usually by burning.",Cars require fuel to operate efficiently.,자동차는 효율적으로 작동하기 위해 연료가 필요하다.,"energy, power, gasoline",,High relevance for topics on energy and environment.,Medium relevance for analytical writing and reading comprehension.
fugitive,"도망자, 탈주자 또는 도피하는 사람",A person who has escaped from captivity or is in hiding to avoid arrest,The fugitive was captured by the police after weeks of searching.,경찰이 몇 주간의 수색 끝에 도망자를 체포했다.,"escapee, runaway, refugee","resident, inhabitant, settler",Moderate,Low
fulfill,"완수하다, 충족시키다",To complete or achieve something; to satisfy or meet requirements or expectations,She worked hard to fulfill her dream of becoming a doctor.,그녀는 의사가 되겠다는 꿈을 이루기 위해 열심히 노력했다.,"accomplish, achieve, satisfy","neglect, ignore, fail",High relevance in writing tasks about goals or achievements,Moderate relevance in reading comprehension and critical reasoning sections
function,"기능, 작용 또는 역할을 의미하며, 특히 어떤 목적을 수행하는 것을 뜻함.",An activity or purpose natural to or intended for a person or thing.,The main function of the heart is to pump blood throughout the body.,심장의 주된 기능은 몸 전체에 혈액을 순환시키는 것이다.,"role, purpose, task","malfunction, disorder",High relevance in discussing processes or mechanisms.,Moderate relevance in analytical writing or problem-solving contexts.
fundamental,"기본적인, 근본적인","Forming the base, from which everything else develops; essential or primary.",Understanding fundamental principles is crucial in any field of study.,근본적인 원리를 이해하는 것은 어떤 학문 분야에서도 중요하다.,"basic, essential, primary","superficial, secondary",High relevance in academic and general test contexts,Moderate relevance in logical reasoning and business concepts
furnish,"가구를 비치하다, 제공하다","to provide or supply something, especially furniture or equipment",They decided to furnish the apartment with modern furniture.,그들은 아파트를 현대적인 가구로 비치하기로 결정했다.,"equip, provide, supply","strip, deprive, take",6.5-7.5 (중급 이상의 어휘로 평가됨),적당한 난이도 어휘 (문맥에 따라 중요)
futile,"쓸모없는, 무익한",incapable of producing any useful result; pointless,All their efforts to save the business proved futile.,그들의 사업을 구하려는 모든 노력은 쓸모없음이 증명되었다.,"pointless, useless, ineffective","effective, useful, productive",Moderate relevance for vocabulary enhancement,Moderate relevance in reading comprehension and critical reasoning
gadget,작고 유용한 기계 장치 또는 도구,"a small, useful mechanical or electronic device",He bought a new gadget to help him with cooking.,그는 요리를 돕기 위해 새로운 기기를 샀다.,"device, tool, appliance",,Low to Medium relevance,Low relevance
gait,걸음걸이 또는 이동 방식,A person's manner of walking or the way in which an animal moves.,The horse had a smooth and graceful gait as it trotted along the path.,그 말은 길을 따라 걸으면서 부드럽고 우아한 걸음걸이를 보였다.,"stride, pace, step",,Moderate relevance in speaking and writing sections when describing movements or activities.,"Low relevance, rarely used unless in reading comprehension passages related to biology or sports."
galaxy,"은하, 별과 성운 등이 중력으로 묶여 이루는 거대한 천체의 집단","A large system of stars, gas, and dust bound together by gravity",The Milky Way is a galaxy that contains billions of stars.,은하수는 수십억 개의 별을 포함하고 있는 은하이다.,"universe, cosmos, star system",,High relevance in Astronomy and Science topics,Low relevance unless in abstract or metaphorical contexts
gale,강한 바람 또는 폭풍,A strong wind or a storm,The gale blew fiercely across the coastline.,강풍이 해안선을 따라 거세게 불었다.,"storm, windstorm, tempest","calm, stillness, serenity",Medium relevance for environmental or weather-related topics,Low relevance
garment,"옷, 의복",An item of clothing.,She wore a beautiful garment made of silk.,그녀는 실크로 만든 아름다운 옷을 입었다.,"apparel, attire, clothing",,Moderate relevance for clothing-related vocabulary.,Low relevance in business or analytical contexts.
gear,기계의 톱니바퀴 혹은 특정 작업에 필요한 장비 또는 도구,A toothed wheel in a machine or equipment used for a specific purpose,He shifted the car into third gear to accelerate.,그는 차를 가속하기 위해 3단 기어로 바꿨다.,"equipment, apparatus, machine",,"Moderate relevance, often used in mechanical or technical contexts","Low relevance, rarely used in business or analytical contexts"
gem,"보석, 귀중한 것",a precious or semi-precious stone; something of great value or quality,She found a rare gem in the antique shop.,그녀는 골동품 가게에서 희귀한 보석을 발견했다.,"jewel, treasure, precious stone",,Medium relevance in vocabulary sections,Low relevance in verbal sections
generalize,"일반화하다, 개별적인 사례에서 일반적인 결론을 도출하다",To make a general statement or concept by inferring from specific cases.,It is important not to generalize based on limited data.,제한된 데이터에 근거하여 일반화하지 않는 것이 중요하다.,"universalize, simplify, categorize","specify, particularize, detail",7,6
generate,"생성하다, 만들어내다",to produce or create something,The new policy aims to generate more job opportunities.,새로운 정책은 더 많은 일자리 창출을 목표로 한다.,"create, produce, form","destroy, eliminate, reduce",High relevance for writing and speaking sections,Moderate relevance for analytical writing
generation,세대 또는 어떤 것의 생성 과정,The act of producing or creating something; a group of individuals born and living at the same time.,The younger generation prefers digital communication over traditional methods.,젊은 세대는 전통적인 방법보다 디지털 커뮤니케이션을 선호한다.,"creation, production, formation","destruction, extinction",High relevance for topics on technology and social change.,Moderate relevance for essays on innovation and workforce trends.
genetic,"유전의, 유전자와 관련된",relating to genes or heredity,Genetic research has advanced significantly in recent years.,유전 연구는 최근 몇 년 동안 크게 발전했다.,"hereditary, biological, genomic","acquired, environmental","High relevance, commonly used in scientific contexts","Moderate relevance, occasionally found in reading comprehension passages"
genetically,"유전적으로, 유전자와 관련된 방식으로",In a manner related to genes or heredity,Genetically modified crops are widely used in agriculture.,유전자 변형 농작물은 농업에서 널리 사용된다.,"hereditarily, biologically",,Moderate relevance for scientific or academic topics,Low relevance unless used in scientific reasoning sections
modified,"변경된, 수정된",changed or adjusted to improve or make suitable for a particular purpose,The design was modified to enhance its functionality.,디자인은 기능성을 향상시키기 위해 수정되었습니다.,"adjusted, altered, edited",,Medium relevance for writing and speaking sections,Low relevance for verbal reasoning
genocide,(ERROR),'NoneType' object has no attribute 'strip',,,,,,
genome,유전자 전체 또는 유전 정보를 담고 있는 전체 염색체의 집합,The complete set of genes or genetic material present in an organism or cell.,Scientists are studying the human genome to understand genetic diseases better.,과학자들은 유전 질환을 더 잘 이해하기 위해 인간 게놈을 연구하고 있습니다.,"genetic material, DNA sequence, gene pool",,High relevance in topics related to biology and genetics,"Low relevance, primarily used in scientific contexts"
genre,"문학, 영화, 음악 등에서 특정한 형식이나 스타일의 분류를 나타내는 말","A category of artistic composition characterized by similarities in form, style, or subject matter",The science fiction genre often explores futuristic concepts and advanced technology.,SF 장르는 종종 미래적 개념과 첨단 기술을 탐구한다.,"category, type, style",,High relevance for speaking and writing sections,Moderate relevance for reading comprehension questions
genuine,"진짜의, 진실한, 진심 어린","Truly what it is said to be; authentic, sincere, or honest.","Her smile was genuine, reflecting her true happiness.","그녀의 미소는 진심 어린 것으로, 그녀의 진정한 행복을 반영했다.","authentic, real, sincere","fake, false, insincere","High relevance in Writing and Speaking sections, particularly for describing people or emotions.",Moderate relevance in Reading Comprehension and Analytical Writing sections.
geometric,"기하학의, 기하학적인",relating to geometry or the shape and arrangement of objects.,The artist created a geometric pattern using triangles and circles.,그 예술가는 삼각형과 원을 사용하여 기하학적 패턴을 만들었다.,"mathematical, structured, symmetrical",,Moderate relevance for academic vocabulary,"Low relevance, primarily seen in quantitative sections"
geothermal,지구 내부의 열과 관련된 것,Relating to the heat produced from the Earth's interior,Geothermal energy is a sustainable resource for generating electricity.,지열 에너지는 전기를 생산하기 위한 지속 가능한 자원입니다.,"geothermal energy, earth heat",,Medium relevance in environmental topics,Low relevance in business contexts
geriatric,"노인의 건강과 관련된, 특히 노인병학과 관련된","Relating to old age or the care of elderly people, especially in the field of gerontology.",The hospital has a specialized geriatric ward for elderly patients.,그 병원은 노인 환자를 위한 전문적인 노인병 병동을 가지고 있다.,"elderly, senior, aging","youthful, young","Moderate relevance, often used in healthcare contexts.","Low relevance, rarely used in business contexts."
germ,세균 또는 미생물; 어떤 것이 발달하는 기초가 되는 초기 단계,"A microorganism, especially one that causes disease; the initial stage or beginning of something that develops later",Washing your hands regularly helps prevent the spread of germs.,손을 자주 씻는 것은 세균의 확산을 막는 데 도움이 됩니다.,"microbe, bacterium, pathogen","health, cleanliness, sanitation",Medium,Low
germinate,"싹이 트다, 발아하다",to begin to grow or develop; to sprout,Seeds need moisture and warmth to germinate.,씨앗은 발아하기 위해 수분과 따뜻함이 필요하다.,"sprout, grow, develop","wither, die, decay",5,3
geyser,지하에서 뜨거운 물과 증기가 주기적으로 뿜어져 나오는 샘,A natural hot spring that periodically ejects water and steam into the air.,"The geyser erupted with a powerful jet of steaming water, attracting a crowd of tourists.",간헐천이 강력한 뜨거운 물줄기를 뿜어내며 관광객들의 시선을 끌었다.,"spring, hot spring, fountain",,Moderate relevance in environmental and geography topics,"Low relevance, rarely used in test vocabulary"
gilded,"금박을 입힌, 겉으로만 번지르르한",covered with a thin layer of gold or appearing luxurious but lacking substance,The gilded frame of the painting gave it a regal appearance.,그 그림의 금박을 입힌 액자는 그것에 왕실 같은 느낌을 주었다.,"gold-plated, ornate, luxurious","plain, unadorned, simple",Moderate relevance for vocabulary in discussions about art or wealth.,"Low relevance, may appear in reading comprehension or analogy questions."
glacier,"빙하, 얼음으로 이루어진 거대한 덩어리",A large mass of ice that moves slowly over land.,The glacier is melting rapidly due to global warming.,빙하가 지구 온난화로 인해 빠르게 녹고 있습니다.,"ice sheet, iceberg, snowfield",,High relevance for environmental science topics,Low relevance
glance,"흘긋 봄, 얼핏 봄",to take a brief or hurried look,She gave a quick glance at her watch before leaving.,그녀는 떠나기 전에 자신의 시계를 빠르게 흘긋 보았다.,"peek, glimpse, scan","stare, gaze, scrutinize",Moderate,Low
gland,몸 안에서 특정 물질을 분비하거나 생성하는 기관,An organ in the body that secretes particular chemical substances for use in the body or discharge into the surroundings.,The thyroid gland regulates metabolism and energy in the body.,갑상선은 신체의 신진대사와 에너지를 조절합니다.,"organ, duct",,Moderate relevance in biology and health-related contexts.,"Low relevance, primarily useful in scientific vocabulary."
glean,"조금씩 모으다, 얻다","To collect information or items bit by bit, often with effort.",She managed to glean some useful information from the conversation.,그녀는 대화에서 유용한 정보를 조금씩 얻어낼 수 있었다.,"gather, collect, extract","disperse, scatter",Medium relevance for vocabulary in reading and writing sections.,High relevance for critical reasoning and reading comprehension.
glimmer,"희미하게 빛나다, 어렴풋한 빛이나 희미한 표시",A faint or wavering light; a small sign of something,She saw a glimmer of hope in his eyes.,그녀는 그의 눈에서 희망의 희미한 빛을 보았다.,"gleam, sparkle, shine","darkness, gloom, dullness",Low,Low
glimpse,"흘끗 봄, 얼핏 봄",a brief or incomplete view or look at something,She caught a glimpse of the sunset through the window.,그녀는 창문 너머로 석양을 흘끗 보았다.,"peek, glance, view","stare, gaze, examination",Moderate relevance for describing brief observations in writing or speaking tasks.,"Low relevance, mainly for reading comprehension or verbal reasoning."
glucose,"포도당, 생물체에서 에너지원으로 사용되는 단순한 당",A simple sugar that serves as a primary energy source in living organisms.,Glucose is essential for cellular respiration in the human body.,포도당은 인간의 몸에서 세포 호흡에 필수적이다.,"dextrose, blood sugar",,"Low relevance, primarily in scientific contexts","Low relevance, may appear in biology-related passages"
gorge,"좁고 깊은 협곡, 또는 게걸스럽게 먹다","A narrow valley or ravine, often with a stream at the bottom; or to eat greedily and excessively",The hikers marveled at the stunning gorge carved by the river.,등산객들은 강이 깎아 만든 멋진 협곡에 감탄했다.,"ravine, canyon, gully","plain, plateau, moderation",5,3
gospel,"복음, 기독교의 가르침 또는 진리",The teaching or revelation of Christ; often refers to the message of salvation.,The preacher shared the gospel with the congregation.,목사는 회중에게 복음을 전했습니다.,"message, doctrine, truth",,5.5-6.5,Low relevance
gothic,"고딕 양식 또는 중세 시대를 연상시키는 스타일, 어두운 분위기를 가진 문학, 예술, 건축 양식","Relating to the Gothic style of architecture, art, and literature, often characterized by a dark, mysterious, or medieval feel",The Gothic cathedral stood tall with its intricate spires and haunting beauty.,고딕 양식의 대성당은 복잡한 첨탑과 소름 끼치는 아름다움으로 우뚝 서 있었다.,"medieval, dark, mysterious","modern, bright, simple",Medium relevance for vocabulary in art and literature contexts,Low relevance for business and analytical contexts
gourmet,미식가 또는 고급 요리를 즐기는 사람,A person who enjoys and knows a lot about high-quality food and drink,The gourmet appreciated the chef's innovative approach to French cuisine.,그 미식가는 셰프의 프랑스 요리에 대한 혁신적인 접근을 높이 평가했다.,"epicure, connoisseur, foodie",,Low relevance,Low relevance
govern,"통치하다, 지배하다, 관리하다",To exercise authority or control over; to rule or manage.,The president governs the country with strict policies.,대통령은 엄격한 정책으로 나라를 통치한다.,"rule, control, manage","obey, follow, submit",High relevance for vocabulary in governance-related topics.,Moderate relevance in reading comprehension and analytical writing.
graduate,졸업하다; 학위를 받다,to complete a course of study and receive a degree or diploma,She will graduate from college next year.,그녀는 내년에 대학을 졸업할 것이다.,"finish, complete, acquire","dropout, fail",5,4
graft,"접목, 이식; 특히 식물이나 조직을 서로 결합하거나 부정한 방법으로 얻은 돈이나 이익","To join one thing to another, especially in horticulture or medicine; also refers to bribery or corruption involving monetary gain",The farmer used a special technique to graft the branches onto the old tree.,농부는 오래된 나무에 가지를 접목하기 위해 특별한 기술을 사용했다.,"implant, splice, corruption","separation, disconnection, honesty",Medium relevance for vocabulary in academic or general training tests,"Low relevance, primarily used in specific contexts"
granite,"화강암, 단단하고 내구성이 강한 암석","A hard, granular, crystalline rock composed mainly of quartz, feldspar, and mica.",The ancient monument was built using granite blocks.,고대 기념비는 화강암 블록을 사용하여 지어졌다.,"rock, stone, igneous",,Low relevance,Low relevance
grant,"승인하다, 허락하다, (특히 공식적으로) 주다","to agree to give or allow something requested, especially officially",The university decided to grant him a scholarship.,그 대학은 그에게 장학금을 주기로 결정했다.,"allow, permit, authorize","deny, refuse, reject",6.5,600
grasp,무엇을 꽉 잡거나 이해하다,to seize and hold firmly or to understand something fully,She managed to grasp the concept after several explanations.,그녀는 여러 번의 설명 후에 그 개념을 이해할 수 있었다.,"comprehend, seize, understand","misunderstand, release, let go",High relevance for vocabulary and reading comprehension,Moderate relevance for critical reasoning and verbal section
gratify,"기쁘게 하다, 만족시키다",to give pleasure or satisfaction,The teacher's praise for her hard work gratified the student.,선생님의 칭찬은 학생을 만족스럽게 했다.,"please, satisfy, delight","displease, frustrate, annoy",High relevance for IELTS vocabulary,Moderate relevance for GMAT vocabulary
gravel,자갈 또는 작은 돌들,"Small stones or fragments of rock, often used in construction or as a surface material for roads and paths.",The driveway was covered with gravel to make it more durable.,진입로는 더 내구성 있게 만들기 위해 자갈로 덮여 있었다.,"pebbles, stones, shingle",,"Low relevance, commonly used in descriptive passages.","Minimal relevance, rarely used in business or analytical contexts."
gravity,"중력이란 물체를 서로 끌어당기는 힘을 뜻하며, 특히 지구가 물체를 끌어당기는 힘을 의미한다.","Gravity refers to the force that attracts objects toward each other, especially the force by which the Earth pulls objects toward itself.",The astronaut experienced zero gravity while floating in space.,우주비행사는 우주에서 떠다니며 무중력을 경험했다.,"gravitation, weight, pull","weightlessness, levity","High relevance in scientific contexts, especially in physics topics.",Moderate relevance when discussing scientific theories or logical reasoning.
guarantee,"보증하다, 어떤 일이 반드시 일어날 것을 확실히 하다",to make something certain or to promise that something will happen,The company guarantees a full refund if the product is defective.,회사는 제품에 결함이 있을 경우 전액 환불을 보증합니다.,"assure, promise, pledge","invalidate, disprove, reject","High relevance in academic and general contexts, particularly in Writing and Speaking tasks.",Moderate relevance in Reading Comprehension and Critical Reasoning sections.
guilty,죄책감을 느끼는; 잘못을 저지른,Feeling responsible or regretful for a wrongdoing; having committed an offense.,She felt guilty about forgetting her friend's birthday.,그녀는 친구의 생일을 잊은 것에 대해 죄책감을 느꼈다.,"ashamed, remorseful, regretful","innocent, blameless, unashamed",5,3
habitat,"서식지, 생물이 자연적으로 살거나 자라는 장소",The natural environment or place where an organism lives and grows.,The tropical rainforest is the natural habitat of many exotic species.,열대우림은 많은 이국적인 종들의 자연 서식지입니다.,"home, environment, territory","uninhabitable area, wasteland",High relevance in environmental topics,Low relevance
hailstorm,우박을 동반한 폭풍,"A storm that produces hail, typically accompanied by heavy rain and strong winds.",The hailstorm damaged several cars parked outside.,우박 폭풍이 밖에 주차된 여러 차량을 손상시켰다.,"thunderstorm, tempest, squall",,Moderate relevance in describing weather phenomena.,"Low relevance, rarely used in business contexts."
hallmark,"특징, 어떤 것을 대표하거나 식별할 수 있는 표식","A distinctive characteristic or feature, especially one that is indicative of quality or authenticity.",The hallmark of a great leader is the ability to inspire and motivate others.,훌륭한 지도자의 특징은 다른 사람들에게 영감을 주고 동기를 부여하는 능력이다.,"characteristic, feature, attribute","flaw, deficiency, imperfection",7,6
halt,"멈추다, 정지하다",to stop or bring to a standstill,The train came to a sudden halt due to an emergency.,기차는 비상 상황으로 인해 갑작스럽게 멈췄다.,"stop, pause, cease","continue, proceed, advance",Moderate,Low
haphazard,무계획적이고 체계적이지 않은; 되는대로의,Lacking any obvious principle of organization; random or unplanned.,"The books were arranged in a haphazard manner, making it difficult to find anything.",책들이 되는대로 배열되어 있어서 아무것도 찾기가 어려웠다.,"random, chaotic, unorganized","systematic, organized, methodical",High relevance for vocabulary in academic writing and speaking.,Moderate relevance in verbal reasoning and reading comprehension.
harassment,타인에게 반복적으로 괴롭힘이나 불쾌감을 주는 행위,Persistent and unwanted behavior that causes discomfort or distress to another person,The company implemented strict policies to prevent workplace harassment.,회사는 직장 내 괴롭힘을 방지하기 위해 엄격한 정책을 시행했습니다.,"bullying, persecution, intimidation","support, protection, encouragement",High relevance in IELTS speaking and writing tasks related to social issues,Moderate relevance in GMAT reading comprehension and critical reasoning passages
harbinger,어떤 일이 곧 일어날 징조 또는 전조를 나타내는 사람이나 사물,A person or thing that announces or signals the approach of something; a forerunner or precursor.,The dark clouds were a harbinger of the approaching storm.,먹구름은 다가오는 폭풍의 전조였다.,"forerunner, precursor, omen","aftermath, result, consequence",High relevance for vocabulary expansion in writing and speaking sections.,Moderate relevance for reading comprehension and critical reasoning.
harmonious,"조화로운, 잘 어울리는","marked by agreement in feeling, attitude, or action; forming a pleasing or consistent whole",The colors in the painting are harmonious and create a sense of balance.,그 그림 속 색상들은 조화롭고 균형감을 만들어낸다.,"balanced, compatible, congruent","discordant, clashing, conflicting",6,4
harness,마구를 채우다; 자원을 활용하다,to control and use the power or energy of something,The engineers worked to harness solar energy for the new project.,엔지니어들은 새로운 프로젝트를 위해 태양 에너지를 활용하기 위해 노력했다.,"utilize, control, exploit","neglect, ignore",6,5
harsh,"가혹한, 혹독한","Unpleasantly rough or severe conditions, actions, or words.",The teacher's criticism was harsh and discouraging.,선생님의 비판은 가혹하고 낙담하게 만들었다.,"severe, cruel, rough","gentle, soft, kind",High,Medium
hatch,"알에서 부화하다, 출입구 또는 창문을 뜻하기도 함",To emerge from an egg or a small door or opening often used for access,The chicks hatched from their eggs after twenty-one days.,병아리들이 21일 후에 그들의 알에서 부화했다.,"emerge, spawn, doorway","bury, conceal",Moderate relevance in listening and vocabulary sections,Low relevance
haunt,"귀신이 나타나다, 자주 방문하다, 괴롭히다",to visit frequently or continually; to cause distress or anxiety; to appear as a ghost or spirit,The old mansion is said to be haunted by restless spirits.,그 오래된 저택은 불안한 영혼들에 의해 귀신이 출몰한다고 한다.,"visit, frequent, torment, plague","avoid, neglect, ignore",High relevance for vocabulary and reading sections,Moderate relevance for reading comprehension and analytical writing sections
haven,"안식처, 피난처",A place of safety or refuge,The small island became a haven for wildlife.,작은 섬은 야생동물들의 안식처가 되었다.,"refuge, sanctuary, shelter","danger, exposure",6,5
havoc,"큰 혼란, 파괴, 황폐",widespread destruction or chaos,The storm wreaked havoc on the coastal towns.,폭풍이 해안 마을들에 큰 혼란을 초래했다.,"chaos, destruction, devastation","order, peace, harmony","Moderate relevance, often used in context of environmental or societal issues.","Low relevance, rarely used in business or analytical contexts."
hazardous,"위험한, 해로운 상태를 나타내는",Involving risk or danger; perilous.,The workers refused to enter the hazardous area without proper safety gear.,근로자들은 적절한 안전 장비 없이 위험한 구역에 들어가는 것을 거부했다.,"dangerous, risky, perilous","safe, secure, harmless",High relevance in describing environments or situations.,Moderate relevance in logical reasoning and problem-solving contexts.
heed,"주의를 기울이다, 귀를 기울이다","to pay attention to, to take notice of",You should heed the advice of your elders.,당신은 어른들의 충고에 귀를 기울여야 합니다.,"notice, regard, consider","ignore, disregard, neglect",6.5,600
heedless,"주의를 기울이지 않는, 부주의한",showing a reckless lack of care or attention,He was heedless of the warning signs and continued driving recklessly.,그는 경고 표지판을 무시하고 계속해서 무모하게 운전했다.,"careless, reckless, inattentive","careful, attentive, cautious",Medium,Low
hegemony,"헤게모니, 한 집단이나 국가가 다른 집단이나 국가에 대해 가지는 지배력 또는 영향력","Leadership or dominance, especially by one country or social group over others",The country's hegemony over its neighboring nations was evident in its trade policies.,그 나라가 이웃 국가들에 대해 가진 헤게모니는 무역 정책에서 분명히 드러났다.,"dominance, supremacy, control","subordination, submission",High,Medium
heliocentric,태양을 중심으로 하는; 태양 중심설의,"Having or representing the sun as the center, as in the accepted astronomical model of the solar system.",The heliocentric model proposed by Copernicus revolutionized astronomy.,코페르니쿠스가 제안한 태양 중심설은 천문학을 혁신했습니다.,"solar-centered, sun-centered","geocentric, earth-centered",Medium relevance in academic discussions related to astronomy or science.,Low relevance; more likely encountered in specialized contexts.
hemisphere,"지구 또는 구체의 반구, 또는 뇌의 왼쪽이나 오른쪽 반구를 의미함","Half of a sphere, especially referring to Earth or the brain's left or right hemisphere",The northern hemisphere experiences winter while the southern hemisphere enjoys summer.,"북반구는 겨울을 겪는 반면, 남반구는 여름을 즐긴다.","half-sphere, sector, region",,Medium relevance in geography-related topics,Low relevance unless related to spatial reasoning
herbivore,"초식동물, 식물만 먹는 동물",An animal that feeds exclusively on plants.,Cows are herbivores that graze on grass in pastures.,소는 초원에서 풀을 뜯어 먹는 초식동물입니다.,"plant-eater, vegetarian animal","carnivore, omnivore",5,2
hereditary,"유전적인, 유전으로 물려받은",determined by genetic factors and passed from parents to offspring,Hereditary traits often influence physical characteristics like eye color.,유전적 특성은 종종 눈 색깔 같은 신체적 특징에 영향을 미친다.,"genetic, inherited, familial","acquired, non-genetic",medium,low
heretic,"기존의 종교적, 사회적 신념에 반대하거나 이탈하는 사람",A person who holds beliefs that are in opposition to established religious or social norms,The heretic was condemned for challenging the doctrines of the church.,그 이단자는 교회의 교리를 반박한 것 때문에 비난받았다.,"dissenter, nonconformist, iconoclast","believer, conformist, orthodox",Moderate relevance for advanced vocabulary and essay writing,Low relevance due to focus on business and quantitative vocabulary
heritage,"유산, 전통",property or traditions passed down from previous generations.,The museum showcases the cultural heritage of the region.,박물관은 지역의 문화적 유산을 전시합니다.,"inheritance, legacy, tradition",disinheritance,High relevance for topics on culture and history.,Moderate relevance for reading comprehension and argument analysis.
hermit,숲이나 산속에 은둔하며 혼자 사는 사람,"A person who lives in seclusion, often for religious or personal reasons","The hermit lived in a small cabin deep in the forest, far away from society.",그 은둔자는 사회에서 멀리 떨어진 숲 깊은 곳의 작은 오두막에서 살았다.,"recluse, loner, solitary","socialite, extrovert",5,3
hibernate,"겨울잠을 자다, 활동을 중단하다",to spend the winter in a dormant state or to remain inactive for a period,Bears hibernate during the winter to conserve energy.,곰은 에너지를 절약하기 위해 겨울 동안 겨울잠을 잔다.,"sleep, rest, dormancy","wake, activate, arouse",5.5,4
hierarchy,"계급, 계층, 위계질서를 나타내는 체계",A system or organization in which people or groups are ranked one above the other according to status or authority.,The hierarchy in the company determines the flow of communication and decision-making.,회사의 위계질서는 의사소통과 의사결정의 흐름을 결정한다.,"ranking, order, chain of command","equality, uniformity",High,Medium
hieroglyph,고대 이집트 문자로 주로 그림과 상징을 사용하는 글자 체계,"A character or symbol used in the writing system of ancient Egypt, primarily consisting of pictorial symbols.",The archaeologist discovered a stone tablet covered in hieroglyphs.,고고학자는 히에로글리프로 덮인 석판을 발견했다.,"pictogram, symbol, ideogram",,"Low relevance, mostly in reading comprehension sections.","Minimal relevance, may appear in historical context questions."
hijacking,"비행기, 배, 차량 등을 강제로 탈취하거나 통제하는 행위","The act of illegally taking control of an aircraft, ship, or vehicle by force.",The hijacking of the airplane caused a major international crisis.,비행기 탈취 사건은 주요 국제적 위기를 초래했다.,"piracy, seizure, commandeering","return, release, surrender",6.5-7.5 (Advanced vocabulary for discussion topics),Relevant for reading comprehension and critical reasoning sections
hinder,"방해하다, 저지하다",to make it difficult for something to happen or progress,Heavy traffic can hinder emergency vehicles from reaching their destinations quickly.,교통 체증은 긴급 차량이 목적지에 신속히 도달하는 것을 방해할 수 있다.,"obstruct, impede, hamper","assist, facilitate, help",Moderate relevance - commonly used in academic writing and speaking.,Moderate relevance - occasionally appears in reading comprehension or critical reasoning.
hoard,"저장하거나 쌓아두다, 특히 과도하게","To accumulate or store something, often excessively",She tends to hoard old magazines in her attic.,그녀는 다락방에 오래된 잡지를 쌓아두는 경향이 있다.,"store, accumulate, stockpile","discard, give away, spread",Medium relevance for vocabulary in writing and speaking sections,"Low relevance, primarily useful for reading comprehension"
hollow,"속이 빈, 공허한",Having a space or cavity inside; not solid; empty.,The tree trunk was hollow and filled with insects.,나무 줄기는 속이 비어 있었고 벌레들로 가득 차 있었다.,"empty, void, vacant","solid, filled, substantial","Moderate relevance, often used in descriptive contexts.","Low relevance, rarely appears in business-related contexts."
homage,존경 또는 경의를 표하는 행위,A demonstration of respect or honor towards someone or something.,The artist paid homage to her mentor through her latest painting.,그 예술가는 최근 그림을 통해 멘토에게 경의를 표했다.,"respect, tribute, honor",,"Moderate relevance, commonly used in academic and formal contexts.","Low relevance, occasionally appears in reading comprehension passages."
homeostasis,생물이 환경 변화에도 내부 상태를 일정하게 유지하려는 경향 또는 능력,The tendency or ability of an organism to maintain internal stability despite external changes,The human body achieves homeostasis through mechanisms like sweating and shivering.,인체는 땀을 흘리거나 몸을 떨면서 항상성을 유지한다.,"balance, equilibrium, stability","imbalance, instability",6.5 이상에서 자주 사용됨,중급에서 고급 지문에 등장 가능
hominid,인류와 그 조상을 포함하는 영장류의 한 분류군,"A member of the biological family Hominidae, which includes humans and their ancestors.",Scientists discovered a new hominid species in the fossil record.,과학자들은 화석 기록에서 새로운 호미니드 종을 발견했다.,"human ancestor, primate",,Low relevance; primarily used in academic contexts.,Low relevance; not commonly used in business contexts.
homogeneous,"동질의, 동일한 성질을 가진",Consisting of parts that are all of the same kind or nature.,The population of the small village was remarkably homogeneous.,작은 마을의 인구는 놀라울 정도로 동질적이었다.,"uniform, consistent, similar","heterogeneous, diverse, varied",6.5-8.0,700-750
